学校名称,人工干预后分级
北京大学,1
清华大学,1
复旦大学,1
上海交通大学,1
武汉大学,1
浙江大学,1
中国人民大学,1
南京大学,1
吉林大学,2
中山大学,2
北京师范大学,2
华中科技大学,2
四川大学,2
中国科学技术大学,2
南开大学,2
山东大学,2
中南大学,2
西安交通大学,2
厦门大学,2
哈尔滨工业大学,2
北京航空航天大学,2
同济大学,2
天津大学,2
华东师范大学,2
东南大学,2
北京理工大学,2
重庆大学,2
西南财经大学,2
中央财经大学,2
对外经济贸易大学,2
中国政法大学,2
北京协和医学院,2
中国农业大学,3
华南理工大学,3
湖南大学,3
西北工业大学,3
大连理工大学,3
东北大学,3
兰州大学,3
中国海洋大学,3
电子科技大学,3
西北农林科技大学,3
中央民族大学,3
中南财经政法大学,3
暨南大学,3
北京交通大学,3
北京邮电大学,3
广西大学,4
中国药科大学,4
长安大学,4
上海财经大学,4
华东理工大学,4
苏州大学,4
南京航空航天大学,4
郑州大学,4
华中师范大学,4
南京农业大学,4
西南大学,4
武汉理工大学,4
上海大学,4
南京理工大学,4
东北师范大学,4
江南大学,4
西安电子科技大学,4
华中农业大学,4
西南交通大学,4
华北电力大学（北京）,4
北京科技大学,4
北京化工大学,4
东华大学,4
南京师范大学,4
华南师范大学,4
西北大学,4
陕西师范大学,4
哈尔滨工程大学,4
河海大学,4
南昌大学,4
北京工业大学,4
湖南师范大学,4
福州大学,4
合肥工业大学,4
云南大学,4
安徽大学,4
太原理工大学,4
贵州大学,4
北京林业大学,4
东北林业大学,4
新疆大学,4
中国传媒大学,4
四川农业大学,4
天津医科大学,4
辽宁大学,4
东北农业大学,4
河北工业大学,4
北京中医药大学,4
上海外国语大学,4
大连海事大学,4
北京外国语大学,4
内蒙古大学,4
石河子大学,4
海南大学,4
延边大学,4
宁夏大学,4
中央音乐学院,4
北京体育大学,4
青海大学,4
